room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
8643209,45437387,Private room,,Wallingford,3,5.0,2.0,1.0,60.0,1.0,47.655897,-122.326535,2015-10-23 20:25:35.138363
8555098,45032290,Private room,,Wallingford,0,,2.0,1.0,95.0,1.0,47.667678,-122.328414,2015-10-24 04:22:39.145852
7970663,35246915,Entire home/apt,,Phinney Ridge,4,4.0,4.0,1.0,80.0,1.0,47.668697,-122.340262,2015-10-24 06:17:27.270688
6799378,3719779,Entire home/apt,,Phinney Ridge,5,5.0,4.0,0.0,90.0,1.0,47.681545,-122.353921,2015-10-23 13:43:11.671278
8131762,4950263,Entire home/apt,,Matthews Beach,0,,2.0,1.0,80.0,6.0,47.699113,-122.273006,2015-10-23 15:55:00.149870
4642956,24038354,Entire home/apt,,East Queen Anne,1,5.0,2.0,1.0,209.0,3.0,47.629947,-122.351388,2015-10-23 18:20:02.637141
2727938,13574164,Entire home/apt,,Broadway,15,5.0,2.0,0.0,110.0,2.0,47.622133,-122.328307,2015-10-23 15:06:31.733888
3697351,18835179,Shared room,,Belltown,101,4.5,3.0,1.0,35.0,1.0,47.613814,-122.342529,2015-10-23 17:26:59.945227
2638086,13364937,Entire home/apt,,North Admiral,14,5.0,4.0,1.0,140.0,2.0,47.584239,-122.386892,2015-10-23 23:18:46.765845
4264012,1355886,Private room,,North Delridge,41,4.5,2.0,1.0,100.0,1.0,47.558161,-122.361197,2015-10-23 20:41:17.487068
413733,2057654,Entire home/apt,,Madrona,20,5.0,4.0,1.0,150.0,1.0,47.60907,-122.296133,2015-10-23 19:35:05.768477
5395530,27967988,Entire home/apt,,Broadway,12,5.0,2.0,1.0,115.0,1.0,47.626591,-122.326756,2015-10-24 02:40:58.833080
1622794,804996,Entire home/apt,,Lower Queen Anne,99,5.0,2.0,1.0,145.0,2.0,47.628238,-122.359829,2015-10-23 14:38:06.004596
6747473,35326299,Entire home/apt,,Pioneer Square,29,5.0,3.0,1.0,150.0,2.0,47.602729,-122.334547,2015-10-23 17:24:26.074710
2818420,14417667,Entire home/apt,,Wallingford,4,5.0,4.0,1.0,89.0,2.0,47.659912,-122.337686,2015-10-23 15:44:42.933223
2387605,12194562,Private room,,Atlantic,55,5.0,4.0,1.0,79.0,1.0,47.594125,-122.308662,2015-10-23 22:07:45.778726
6691324,23316664,Entire home/apt,,Central Business District,17,5.0,2.0,0.0,150.0,2.0,47.606302,-122.340528,2015-10-23 15:24:51.195223
